average high,average low,average rain,Capital,Lat,Lng,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
"{'jan': 36.0, 'feb': 39.0, 'mar': 45.0, 'apr': 56.0, 'may': 66.0, 'jun': 76.0, 'jul': 81.0, 'aug': 80.0, 'sep': 72.0, 'oct': 61.0, 'nov': 51.0, 'dec': 41.0}","{'jan': 22.0, 'feb': 25.0, 'mar': 31.0, 'apr': 41.0, 'may': 50.0, 'jun': 60.0, 'jul': 65.0, 'aug': 65.0, 'sep': 57.0, 'oct': 47.0, 'nov': 38.0, 'dec': 28.0}","{'jan': 11.0, 'feb': 9.0, 'mar': 11.0, 'apr': 11.0, 'may': 12.0, 'jun': 10.0, 'jul': 9.0, 'aug': 9.0, 'sep': 8.0, 'oct': 9.0, 'nov': 10.0, 'dec': 11.0}",boston,42.358162,-71.063698,25,6850553.0,39.5,81215.0,43761.0,680962.0,9.940248619345036
"{'jan': 30.0, 'feb': 33.0, 'mar': 44.0, 'apr': 58.0, 'may': 69.0, 'jun': 78.0, 'jul': 82.0, 'aug': 80.0, 'sep': 73.0, 'oct': 60.0, 'nov': 47.0, 'dec': 34.0}","{'jan': 17.0, 'feb': 19.0, 'mar': 26.0, 'apr': 37.0, 'may': 47.0, 'jun': 57.0, 'jul': 61.0, 'aug': 59.0, 'sep': 51.0, 'oct': 41.0, 'nov': 32.0, 'dec': 22.0}","{'jan': 1.65, 'feb': 1.47, 'mar': 2.06, 'apr': 3.03, 'may': 3.36, 'jun': 3.45, 'jul': 2.84, 'aug': 3.23, 'sep': 3.5, 'oct': 2.53, 'nov': 2.78, 'dec': 1.87}",lansing,42.733635,-84.555328,26,9965265.0,39.7,57144.0,31713.0,1398527.0,14.034017158600399
"{'jan': 26.0, 'feb': 31.0, 'mar': 43.0, 'apr': 58.0, 'may': 71.0, 'jun': 80.0, 'jul': 85.0, 'aug': 82.0, 'sep': 73.0, 'oct': 59.0, 'nov': 42.0, 'dec': 29.0}","{'jan': 7.0, 'feb': 12.0, 'mar': 24.0, 'apr': 38.0, 'may': 50.0, 'jun': 59.0, 'jul': 64.0, 'aug': 62.0, 'sep': 53.0, 'oct': 41.0, 'nov': 27.0, 'dec': 13.0}","{'jan': 0.77, 'feb': 0.67, 'mar': 1.55, 'apr': 2.88, 'may': 3.7, 'jun': 4.2, 'jul': 4.4, 'aug': 4.78, 'sep': 3.27, 'oct': 2.91, 'nov': 1.82, 'dec': 1.09}",saint_paul,44.955096999999995,-93.102211,27,5563378.0,38.0,71306.0,37625.0,526065.0,9.455855776831989
"{'jan': 56.0, 'feb': 60.0, 'mar': 69.0, 'apr': 76.0, 'may': 83.0, 'jun': 89.0, 'jul': 92.0, 'aug': 92.0, 'sep': 87.0, 'oct': 77.0, 'nov': 67.0, 'dec': 58.0}","{'jan': 35.0, 'feb': 38.0, 'mar': 45.0, 'apr': 52.0, 'may': 62.0, 'jun': 69.0, 'jul': 72.0, 'aug': 71.0, 'sep': 65.0, 'oct': 53.0, 'nov': 44.0, 'dec': 37.0}","{'jan': 4.97, 'feb': 4.76, 'mar': 5.04, 'apr': 4.96, 'may': 4.38, 'jun': 4.12, 'jul': 4.81, 'aug': 4.24, 'sep': 3.03, 'oct': 3.92, 'nov': 4.76, 'dec': 5.15}",jackson,32.303847999999995,-90.182106,28,2984418.0,37.5,45081.0,24369.0,585786.0,19.628148603848384
"{'jan': 40.0, 'feb': 45.0, 'mar': 56.0, 'apr': 67.0, 'may': 75.0, 'jun': 83.0, 'jul': 88.0, 'aug': 88.0, 'sep': 80.0, 'oct': 69.0, 'nov': 56.0, 'dec': 43.0}","{'jan': 21.0, 'feb': 25.0, 'mar': 33.0, 'apr': 44.0, 'may': 54.0, 'jun': 64.0, 'jul': 68.0, 'aug': 66.0, 'sep': 57.0, 'oct': 45.0, 'nov': 35.0, 'dec': 24.0}","{'jan': 1.9, 'feb': 2.31, 'mar': 3.0, 'apr': 4.14, 'may': 5.17, 'jun': 4.39, 'jul': 4.31, 'aug': 4.04, 'sep': 4.16, 'oct': 3.34, 'nov': 3.61, 'dec': 2.73}",jefferson_city,38.579201,-92.172935,29,6104910.0,38.6,55461.0,30810.0,810045.0,13.268745976599163
"{'jan': 33.0, 'feb': 39.0, 'mar': 48.0, 'apr': 58.0, 'may': 67.0, 'jun': 76.0, 'jul': 86.0, 'aug': 85.0, 'sep': 73.0, 'oct': 59.0, 'nov': 43.0, 'dec': 32.0}","{'jan': 13.0, 'feb': 17.0, 'mar': 24.0, 'apr': 32.0, 'may': 41.0, 'jun': 49.0, 'jul': 54.0, 'aug': 52.0, 'sep': 43.0, 'oct': 33.0, 'nov': 22.0, 'dec': 12.0}","{'jan': 0.36, 'feb': 0.3, 'mar': 0.59, 'apr': 0.98, 'may': 1.87, 'jun': 2.06, 'jul': 1.19, 'aug': 1.2, 'sep': 1.1, 'oct': 0.68, 'nov': 0.49, 'dec': 0.4}",helena,46.585709,-112.018417,30,1050649.0,39.9,54970.0,31151.0,134605.0,12.811605017470152
"{'jan': 35.0, 'feb': 40.0, 'mar': 52.0, 'apr': 64.0, 'may': 74.0, 'jun': 84.0, 'jul': 89.0, 'aug': 87.0, 'sep': 79.0, 'oct': 66.0, 'nov': 50.0, 'dec': 37.0}","{'jan': 14.0, 'feb': 18.0, 'mar': 28.0, 'apr': 39.0, 'may': 51.0, 'jun': 61.0, 'jul': 66.0, 'aug': 64.0, 'sep': 53.0, 'oct': 41.0, 'nov': 28.0, 'dec': 16.0}","{'jan': 0.64, 'feb': 0.77, 'mar': 1.93, 'apr': 2.71, 'may': 4.29, 'jun': 4.35, 'jul': 3.4, 'aug': 3.49, 'sep': 3.02, 'oct': 1.97, 'nov': 1.43, 'dec': 0.95}",lincoln,40.808075,-96.69965400000001,31,1914571.0,36.5,61439.0,32302.0,206579.0,10.789832291411495
"{'jan': 45.0, 'feb': 50.0, 'mar': 57.0, 'apr': 63.0, 'may': 71.0, 'jun': 81.0, 'jul': 90.0, 'aug': 88.0, 'sep': 80.0, 'oct': 68.0, 'nov': 54.0, 'dec': 45.0}","{'jan': 22.0, 'feb': 25.0, 'mar': 30.0, 'apr': 34.0, 'may': 41.0, 'jun': 47.0, 'jul': 52.0, 'aug': 51.0, 'sep': 43.0, 'oct': 35.0, 'nov': 27.0, 'dec': 22.0}","{'jan': 1.56, 'feb': 1.57, 'mar': 1.12, 'apr': 0.45, 'may': 0.44, 'jun': 0.44, 'jul': 0.18, 'aug': 0.23, 'sep': 0.4, 'oct': 0.69, 'nov': 1.24, 'dec': 1.35}",carson_city,39.163914,-119.766121,32,2972382.0,38.0,60365.0,31557.0,384690.0,12.942145390464615
"{'jan': 31.0, 'feb': 35.0, 'mar': 44.0, 'apr': 57.0, 'may': 69.0, 'jun': 77.0, 'jul': 82.0, 'aug': 81.0, 'sep': 73.0, 'oct': 60.0, 'nov': 48.0, 'dec': 36.0}","{'jan': 10.0, 'feb': 14.0, 'mar': 22.0, 'apr': 33.0, 'may': 43.0, 'jun': 53.0, 'jul': 58.0, 'aug': 56.0, 'sep': 47.0, 'oct': 36.0, 'nov': 28.0, 'dec': 17.0}","{'jan': 2.7, 'feb': 2.62, 'mar': 3.27, 'apr': 3.41, 'may': 3.66, 'jun': 3.69, 'jul': 3.74, 'aug': 3.18, 'sep': 3.38, 'oct': 4.04, 'nov': 3.72, 'dec': 3.2}",concord,43.206897999999995,-71.537994,33,1348124.0,42.9,76768.0,40003.0,98682.0,7.319949796902954
"{'jan': 35.0, 'feb': 41.0, 'mar': 52.0, 'apr': 64.0, 'may': 74.0, 'jun': 83.0, 'jul': 88.0, 'aug': 87.0, 'sep': 78.0, 'oct': 66.0, 'nov': 51.0, 'dec': 38.0}","{'jan': 16.0, 'feb': 20.0, 'mar': 30.0, 'apr': 40.0, 'may': 52.0, 'jun': 62.0, 'jul': 66.0, 'aug': 64.0, 'sep': 54.0, 'oct': 43.0, 'nov': 31.0, 'dec': 20.0}","{'jan': 1.03, 'feb': 1.7, 'mar': 2.66, 'apr': 3.93, 'may': 5.88, 'jun': 5.03, 'jul': 4.34, 'aug': 4.01, 'sep': 4.04, 'oct': 3.18, 'nov': 2.31, 'dec': 1.78}",trenton,40.220596,-74.769913,34,8878503.0,39.9,82545.0,42745.0,869081.0,9.788598370693796
